height,weight,age,isManOfTheMatch,isActive,teamRegionName,apps,subOn,manOfTheMatch,goal,assistTotal,shotsPerGame,aerialWonPerGame,name,firstName,lastName,playerId,positionText,teamId,teamName,seasonName,isOpta,tournamentRegionName,tournamentName,rating,minsPlayed,yellowCard,redCard,passSuccess,ranking,originCountry
182,80,27,False,True,Spain,29,0,1,1,0,0.413793103448275,2.93103448275862,Rúben Vezo,Rúben Miguel,Nunes Vezo,130356,Defender,832,Levante,2019/2020,True,Spain,LaLiga,6.796551724137932,2610,4,0,80.73394495412845,87,Portugal
170,68,25,False,True,Spain,26,2,0,1,4,1.076923076923076,0.846153846153846,Unai López,Unai,López,236575,Midfielder,53,Athletic Bilbao,2019/2020,True,Spain,LaLiga,6.7965384615384625,1804,6,0,87.25314183123878,88,Spain
177,67,27,False,False,Spain,32,8,0,1,2,0.25,0.40625000000000006,Nélson Semedo,Nélson,Cabral Semedo,296363,Defender,65,Barcelona,2019/2020,True,Spain,LaLiga,6.794687499999998,2097,2,0,89.47368421052632,89,Portugal
186,77,32,False,True,Spain,29,0,0,3,0,0.413793103448275,3.310344827586207,Aridane Hernández,Aridane,Hernández,93492,Defender,131,Osasuna,2019/2020,True,Spain,LaLiga,6.791379310344829,2610,8,0,76.26774847870182,90,Spain
184,78,23,False,True,Spain,24,3,2,0,1,0.25,3.041666666666666,Mathías Olivera,Mathías,Olivera,347178,Defender,819,Getafe,2019/2020,True,Spain,LaLiga,6.786249999999999,1872,5,1,53.565505804311776,91,Uruguay
191,82,22,False,False,Spain,31,1,1,1,1,0.22580645161290303,2.548387096774193,Mohammed Salisu,Mohammed,Salisu,362357,Defender,58,Real Valladolid,2019/2020,True,Spain,LaLiga,6.785483870967742,2726,4,0,80.70652173913044,92,Ghana
172,67,25,False,True,Spain,30,7,3,7,2,1.9333333333333331,0.2,Enis Bardhi,Enis,Bardhi,275687,Midfielder,832,Levante,2019/2020,True,Spain,LaLiga,6.772999999999998,2114,5,0,76.90355329949239,93,North Macedonia
190,80,33,False,True,Spain,34,1,0,1,2,0.617647058823529,2.823529411764706,Vicente Iborra,Vicente,Iborra,34052,Midfielder,839,Villarreal,2019/2020,True,Spain,LaLiga,6.7717647058823545,2663,10,1,85.62456385205863,94,Spain
185,79,32,False,True,Spain,34,1,3,11,3,1.7058823529411762,3.088235294117647,Jaime Mata,Jaime,Mata,140771,Forward,819,Getafe,2019/2020,True,Spain,LaLiga,6.768529411764706,2759,14,0,66.33522727272727,95,Spain
178,71,32,False,True,Spain,37,1,2,5,2,1.378378378378378,0.9189189189189191,Dani Rodríguez,Daniel José,Rodríguez Vázquez,6227,Midfielder,51,Mallorca,2019/2020,True,Spain,LaLiga,6.765675675675674,3048,7,0,82.83378746594006,96,Spain
183,77,29,False,True,Spain,36,9,1,7,3,1.222222222222222,1.75,Antonio Puertas,José Antonio,Rodríguez Díaz,127802,Midfielder,925,Granada,2019/2020,True,Spain,LaLiga,6.761944444444444,2565,7,0,71.95845697329378,97,Spain
173,68,23,False,True,Spain,32,4,1,1,2,0.5625,0.9062500000000001,Renan Lodi,Renan Augusto,Lodi dos Santos,326646,Defender,63,Atletico,2019/2020,True,Spain,LaLiga,6.76125,2399,4,1,79.02097902097903,98,Brazil
188,87,29,False,True,Spain,34,2,0,1,2,0.38235294117647,2.470588235294117,Néstor Araújo,Néstor,Araújo,88191,Defender,62,Celta Vigo,2019/2020,True,Spain,LaLiga,6.760588235294119,2892,10,0,84.91295938104449,99,Mexico
182,77,30,False,False,Spain,27,4,0,4,7,1.5185185185185182,1.074074074074074,Rodrigo,Rodrigo,Moreno,83459,Forward,55,Valencia,2019/2020,True,Spain,LaLiga,6.758518518518519,1889,2,1,76.66666666666667,100,Spain
187,81,30,False,True,Spain,22,0,2,0,0,0.13636363636363602,2.954545454545454,Stefan Savic,Stefan,Savic,77564,Defender,63,Atletico,2019/2020,True,Spain,LaLiga,6.755454545454546,1980,6,0,81.4018691588785,101,Montenegro
170,65,29,False,True,Spain,26,5,4,2,2,0.23076923076923,0.807692307692307,Rubén Peña,Rubén,Peña,118479,Midfielder,839,Villarreal,2019/2020,True,Spain,LaLiga,6.7553846153846155,1906,5,0,80.56918547595681,102,Spain
185,80,31,False,True,Spain,21,9,0,0,2,0.6666666666666661,1.333333333333333,Héctor Herrera,Héctor,Herrera,103476,Midfielder,63,Atletico,2019/2020,True,Spain,LaLiga,6.751904761904763,1120,1,0,87.73333333333333,103,Mexico
188,80,28,False,False,Spain,27,6,2,1,1,0.703703703703703,1.481481481481481,Geoffrey Kondogbia,Geoffrey,Kondogbia,91978,Midfielder,55,Valencia,2019/2020,True,Spain,LaLiga,6.751111111111111,1807,6,0,84.14414414414414,104,Central African Republic
185,72,27,False,True,Spain,32,1,2,0,0,0.5625,5.0625,David García,David,García,240874,Defender,131,Osasuna,2019/2020,True,Spain,LaLiga,6.746875000000001,2792,7,0,70.49441786283892,105,Spain
173,67,19,False,False,Spain,35,12,1,4,4,1.5714285714285712,0.342857142857142,Takefusa Kubo,Takefusa,Kubo,377285,Midfielder,51,Mallorca,2019/2020,True,Spain,LaLiga,6.746571428571428,2309,4,0,75.25773195876289,106,Japan
187,74,35,False,True,Spain,36,0,0,1,0,0.416666666666666,2.25,Raúl Albiol,Raúl,Albiol,12575,Defender,839,Villarreal,2019/2020,True,Spain,LaLiga,6.741666666666667,3238,9,0,83.9506172839506,107,Spain
178,72,34,False,True,Spain,29,2,1,2,1,0.620689655172413,2.827586206896551,Oier Sanjurjo,Oier,Sanjurjo,25932,Defender,131,Osasuna,2019/2020,True,Spain,LaLiga,6.736551724137932,2329,12,1,70.49847405900304,108,Spain
